"[5065,3751,6150,1815,7425,3616,3684,532,4328,10052,4165,7491,2188,4384,4363,765,1011,4135,909,159]"
"[2505,1251,849,3430,1875,5128,6387,2318,2274,1640,6105,4144,1153,6583,743,834,2510,1321,5481,817]"
"[40,5054,9,1487,2039,4982,1567,3052,8966,10177,14,1835,1025,71,1698,340,1745,482,3749,6877]"
"[1083,1168,2806,4357,3850,3392,5725,4794,1244,4721,167,159,1908,7196,170,1166,2215,336,2350,7253]"
"[6947,151,2876,989,1124,9,8386,1793,3391,73,103,2310,7402,4905,1465,10062,551,7737,340,6536]"
"[9735,4226,2619,3551,604,177,18,1983,1997,1529,159,5013,11,1247,6090,4962,923,401,151,4618]"
"[275,1927,241,1460,215,468,2080,2078,2463,921,1177,463,695,4803,11,5277,963,1167,6690,5143]"
"[122,300,696,2338,279,694,1050,283,917,4625,105,695,107,253,692,9,1142,886,698,1217]"
"[4950,11427,4949,2060,4951,6592,789,325,1857,4589,1673,964,6,827,5625,1511,2558,1841,6014,4148]"
"[1435,5410,1321,9592,9251,1870,1322,2006,1273,2148,480,3372,1241,2047,909,2318,159,817,7622,1134]"
"[5007,4160,97,779,4665,428,274,549,4921,2606,107,1376,3724,840,12,3751,2612,4033,2134,7871]"
"[1640,817,9024,50,309,2806,1321,1033,3603,1804,2709,1711,5985,5077,3009,488,3882,103,1316,4233]"
"[483,1028,333,3141,1664,140,546,1826,862,12,160,606,785,639,92,305,6688,569,2842,2510]"
"[1453,1870,6542,1503,1055,1251,2116,36,1650,15,2406,11,1487,482,2263,2362,2535,471,1660,4161]"
"[545,4108,758,1103,777,1126,4980,5002,1554,998,3503,9992,4615,6307,2079,4408,1177,2864,7315,4233]"
"[4156,6546,9533,276,8536,1672,49,5762,2697,895,3150,113,480,1321,989,489,159,1666,4329,7552]"
"[7409,2245,709,2658,2804,4555,5224,5770,4876,6957,4617,635,724,4024,6529,2430,7575,9353,5000,2075]"
"[9273,4450,5284,250,2237,9,1236,279,2246,1142,181,3923,2362,568,1405,846,637,3724,184,3453]"
"[1263,570,551,6439,724,649,113,1437,4108,471,802,279,546,73,2728,691,300,165,5052,3075]"
"[1662,1793,1166,4873,326,4966,1217,73,787,2089,125,9708,997,509,8235,429,6935,796,1587,3861]"
"[1661,7775,946,2583,607,6562,9293,5488,2401,106,4479,1190,817,553,1694,886,1293,1456,5572,746]"
"[482,2728,697,548,3295,2188,1243,4490,1564,695,3882,3367,1363,696,2240,758,4233,2075,5021,429]"
"[1274,488,950,1321,643,305,5640,1342,18,1835,110,695,615,835,3243,4293,483,2568,6688,2246]"
"[1304,954,9283,4233,2123,3513,2047,305,1698,757,1477,4038,1061,1060,3440,1322,5404,1716,4206,7699]"
"[748,322,18,568,11,4144,944,2893,2437,488,437,1321,480,160,492,1654,587,2234,1513,9219]"
